0.04,0.06,0.05,1.2,0.,0.,0.,1.
0.06,0.1,0.080,4.0,0.,0.,0.,1.
0.1,0.2,0.150,13.0,0.,0.,0.,1.
0.2,0.3,0.25,14.,11.,12.,10.7,3.
0.3,0.4,0.35,16.8,13.6,17.,15.2,1.5
0.4,0.55,0.47,17.2,14.4,20.3,17.9,0.9
0.55,0.7,0.62,16.6,13.5,21.2,18.6,0.7
0.7,0.85,0.78,15.6,13.3,20.4,17.6,0.7
0.85,1.0,0.92,14.8,12.1,19.2,16.4,0.6
1.0,1.2,1.1,13.,11.,17.7,14.8,0.6
1.2,1.4,1.3,12.,10.1,15.5,12.8,0.5
1.4,1.6,1.5,10.2,8.7,13.9,11.40,0.4
1.6,2.1,1.84,9.1,7.3,10.0,9.2,0.3
2.1,2.94,2.49,6.6,5.2,7.,5.7,0.19
2.94,4.12,3.49,4.12,3.38,4.8,3.86,0.13
4.12,5.5,4.78,2.53,1.98,2.94,2.31,0.09
5.5,7.0,6.21,1.61,1.25,1.78,1.37,0.06
7.0,10.0,8.37,0.9,0.69,1.02,0.78,0.03
10.0,15.5,12.42,0.389,0.309,0.414,0.32,0.015
15.5,23.0,18.85,0.138,0.108,0.154,0.116,0.007
23.0,31.1,26.68,0.063,0.046,0.064,0.045,0.005
31.1,43.6,36.69,0.028,0.019,0.028,0.0203,0.002
43.6,61.1,51.47,0.0099,0.0071,0.0102,0.0077,0.0013
61.1,85.6,72.08,0.0036,0.003,0.0042,0.0032,0.0006
85.6,120.0,100.96,0.0014,0.0012,0.0015,0.0011,0.0004

